Account Name,Account Type,Kind,Namespace,RoleRefName,RoleRefKind,apiGroups,Resources,Verbs
,,,,,,jaegertracing.io,*,*
,,,,,,kiali.io,*,*
,,,,,,kubeedge.kubesphere.io,*,*
,,,,,,logging.kubesphere.io,*,*
,,,,,,monitoring.coreos.com,*,*
,,,,,,monitoring.kiali.io,*,*
,,,,,,monitoring.kubesphere.io,*,*
,,,,,,networking.istio.io,*,*
,,,,,,networking.k8s.io,*,*
,,,,,,notification.kubesphere.io,*,*
,,,,,,policy,*,*
,,,,,,rbac.authorization.k8s.io,*,*
,,,,,,security.istio.io,*,*
,,,,,,storage.k8s.io,*,*
,,,,,,storage.kubesphere.io,*,*
,,,,,,tenant.kubesphere.io,*,*
,,,,,,types.kubefed.io,*,*
kube-controller-manager,ServiceAccount,RoleBinding,kube-system,system::leader-locking-kube-controller-manager,Role,,configmaps,watch
,,,,,,,configmaps.kube-controller-manager,"get, update"
kube-dns,ServiceAccount,ClusterRoleBinding,,system:kube-dns,ClusterRole,,endpoints,"list, watch"
,,,,,,,services,"list, watch"
kube-proxy,ServiceAccount,ClusterRoleBinding,,system:node-proxier,ClusterRole,,endpoints,"list, watch"
,,,,,,,events,"create, patch, update"
,,,,,,,nodes,"get, list, watch"
,,,,,,,services,"list, watch"
,,,,,,discovery.k8s.io,endpointslices,"list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
kube-scheduler,ServiceAccount,RoleBinding,kube-system,system::leader-locking-kube-scheduler,Role,,configmaps,watch
,,,,,,,configmaps.kube-scheduler,"get, update"
namespace-controller,ServiceAccount,ClusterRoleBinding,,system:controller:namespace-controller,ClusterRole,,namespaces,"delete, get, list, watch"
,,,,,,,namespaces/finalize,update
,,,,,,,namespaces/status,update
,,,,,,*,*,"delete, deletecollection, get, list"
node-controller,ServiceAccount,ClusterRoleBinding,,system:controller:node-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"delete, get, list, patch, update"
,,,,,,,nodes/status,"patch, update"
,,,,,,,pods,"delete, list"
,,,,,,,pods/status,update
,,,,,,events.k8s.io,events,"create, patch, update"
persistent-volume-binder,ServiceAccount,ClusterRoleBinding,,system:controller:persistent-volume-binder,ClusterRole,,endpoints,"create, delete, get, update"
,,,,,,,events,"create, patch, update, watch"
,,,,,,,nodes,"get, list"
,,,,,,,persistentvolumeclaims,"get, list, update, watch"
,,,,,,,persistentvolumeclaims/status,update
,,,,,,,persistentvolumes,"create, delete, get, list, update, watch"
,,,,,,,persistentvolumes/status,update
,,,,,,,pods,"create, delete, get, list, watch"
,,,,,,,secrets,get
,,,,,,,services,"create, delete, get"
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,storage.k8s.io,storageclasses,"get, list, watch"
pod-garbage-collector,ServiceAccount,ClusterRoleBinding,,system:controller:pod-garbage-collector,ClusterRole,,nodes,"get, list"
,,,,,,,pods,"delete, list, watch"
pv-protection-controller,ServiceAccount,ClusterRoleBinding,,system:controller:pv-protection-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,persistentvolumes,"get, list, update, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
